id,envios,ventas
d114ed81-3049-4bb7-ad11-28e83bafafb5,286,88
46c7ee71-d3e6-4161-b7dc-58293d1d2916,638,176
9b438efa-f91c-4d1c-94d3-309f07c8950a,286,66
73b25ac7-6ace-4942-8432-05b3dc133b49,374,66
b66ec69f-bdd3-426c-8ce5-6141accd3c3e,374,66
dfcff3e9-2421-42e0-919b-d8e8d02a861d,440,198
848d49ae-e2bf-43d3-a069-90b32b432635,770,286
e1e855cd-0748-41c0-bb24-22fe992194af,220,110
11764046-0cff-435d-9d6b-802a59d540ab,462,154
4ff20b7e-49a0-4d6a-80c6-4daaa7705c34,198,66
047b6b10-09e4-49be-b620-f04193a0115d,1012,242
638bcb91-cf38-470d-b749-a967e15c6a98,792,286
691eafc1-336a-47a9-8044-f1ce1ecec49a,638,154
cfaa018e-98c4-457e-b305-f72f09a04a90,748,154
abcf3f80-3a11-4143-b134-63d644fd2d70,308,88
ca03b83f-3b35-478a-b53c-ff484ad1783a,616,176
ca9ff9c2-80f0-4f29-9fe0-976a72447517,264,66
dc4a5348-0b89-4b69-88d1-3fd41c8ccf41,264,110
57540d56-3cb3-420f-9884-077c6f541630,132,44
82e9f593-432a-4e82-aca7-6f1561ee9c65,132,44
d921de18-cb16-4365-a148-5d2970891b33,286,132
2b9d9c7f-8ba9-4e6e-8a69-e4cdd50b7ad1,550,132
0a543fb7-1f99-48cc-b9cc-ded8fb6e4c9f,330,66
8162b06d-edfe-4d12-a7e2-94ae1d6ed518,220,22
b28d0245-f3ae-4ccd-9ed0-bb9ecf0dd867,330,110
3c226553-463b-4668-8b95-2f2d1930f06a,176,44
bb63066a-edea-4f7a-bc15-925611f2a2b6,594,176
fb5ea4b5-4570-4925-b03a-6d1051044de1,506,220
3bc71ffa-ec8c-4548-82db-3ed4747f8a01,572,88
caab6c28-bcc5-42fb-9929-6b65e2aa2b24,374,88
95c334df-4714-4b28-9293-c4c602a5bee7,198,88
0da5c87c-c181-4f4d-93c4-6e10e1cf1edc,352,44
10b12755-929a-46ef-997c-67054b494360,0,0
d4105cf2-548a-496f-ad62-8fdbd1ac68cf,0,0
051696d0-e2d1-47ac-a36d-a9a6a7cb4a09,0,0
7ac8c153-5649-4a0e-a286-6b7316652da0,0,0
f67e5741-d0cc-4731-9110-0e3bd4c0fd14,0,0
7b9536e3-9fb0-4062-be3d-79c881db1bf1,0,0
12e1b2b7-44f6-436e-afc1-40a874668406,418,88
5915c8e6-e142-43b9-b23f-0b9c9642cc79,418,176
6634931e-acfb-4946-8cf6-a78c3ecd435f,374,88
b8c02d6a-b8d2-4b8f-bbbb-13dd38dde0b8,154,44
b9e76e3f-f984-4e8e-8704-94dafbb62c04,220,88
1794250c-7281-4b21-a325-cd62ab67f0df,132,44
035979a0-5617-4239-b326-419345999748,0,0
373b7cf9-cb2b-4780-bac4-80f023302d1f,0,0
eaca9118-151a-42dd-a990-b6364fc66c3b,0,0
1baebf46-6957-45a6-91ae-d0ded856c716,0,0
3a11d197-69c5-4a66-a132-9c13cf123723,0,0
8f0b91c3-2bb1-4877-a218-252b36c6a25d,0,0
2accb006-efbb-40ce-a5cb-9e9a49d19544,484,154
4daa6e18-3d7a-4a7e-bf85-e91bd51d6e40,990,154
e38a887f-ffdc-4d28-bb7a-65d3fd8bc23f,286,88
13963ad6-eb6e-4a2e-a07d-e8a5c8f032c1,132,88
63b2dadf-1b48-4eaf-ac3e-f7c88514b20d,440,110
50a04758-72db-412b-a2d6-683eb0a63a88,154,88
d957b67e-0473-4f10-bb01-f2c3b07a9a1a,550,154
bb7798ec-ca3b-4d94-95bd-28626b3b9eff,550,198
a69e2d88-efca-46b6-9844-2660f0803f62,330,66
84e50b83-aade-42d7-a499-33d2027d70fd,418,110
bef0ddcd-1831-4b92-8ff6-df8d1534cb5b,308,66
49d772e1-60e0-4e2a-979d-8bc09822556b,308,88
19cd1365-1393-4aef-a12e-27b28bbe43a4,462,176
7ec240fe-c8b0-4477-85bb-2879704cb813,484,198
12e54b4d-3fd2-422f-bf0f-5d361299455a,242,88
18d6a90f-02cf-445f-b2ce-12db55da74b5,352,44
e138df67-b95d-46f6-ab63-009bd6ed30d6,374,110
bfe89cb5-cfd3-4934-ad50-3902ad90b8cd,220,110
06dba2f9-1a50-499f-b063-9aa3b640bf5b,506,176
d2e20bce-c25b-4612-a1cd-a86302dd1528,418,154
9cb8b91b-c761-477c-a4c2-b99649cd443e,418,88
ddee7122-9bde-4132-9873-b7f0c41aacb1,352,88
96ee5cf7-0c0a-4bcc-8ba9-254c96607ffe,286,110
14783674-d2dc-4443-ab03-7af5ee35362b,264,88
39c9b8dd-eef8-4fcf-b6fd-8043b4680540,506,132
8b386877-68ae-4f12-b071-d1ffdff6e9d0,616,176
39e30c24-8f0c-4063-93a1-a6d094edf433,660,264
5ad117cc-6688-451d-b52c-b9456ac5ea09,418,176
00e1dcdc-4daf-43b2-9c6e-edd5bc1ee31a,484,264
674aaf9b-382a-43b4-9908-0a008982918f,880,308
77baa500-d1d4-48bc-a18f-2a285d4753ee,814,352
3f1cf090-f580-46a7-be12-f9d300a215ac,484,176
ec0cf8a3-1710-409b-b008-896269bf7496,836,198
8a90b32b-e028-4aa4-9bfc-474bc3fbfe0c,506,286
a9c8e105-67c4-445d-b971-63c6bb907e82,946,242
4e57c264-e0f0-4f75-be56-1d88f0d55b95,858,330
342c548d-0a3d-43b5-812c-358ced06007d,418,176
e7e14eff-d358-4b6f-9c70-33bf88b01038,484,198
bc3157af-81d8-4d56-9a7a-822e055f9451,198,110
fb15f06b-c0db-476b-a6f3-f3057c8c95ad,616,154
7a291510-fad3-449e-9978-a6f35248a68c,1012,198
7c61a720-ce7f-4dbb-abab-1320f41e8b3a,1275,330
aa3722c3-af27-4240-a88e-0380040609a0,660,198
e678e585-c830-450d-8336-3865c1651dce,308,176
509ff8f0-ead4-40a0-964b-ab55982ef6e9,198,110
0fbf206f-72ed-481b-ad83-dd55f9e5497d,308,132
a69f1635-7b29-40c7-9613-25314878fac7,1605,286
fbdbc782-f1f8-47ac-92c6-63561ac45bd1,1100,264
e648fa3d-305d-4ae4-87e5-03197e666eb3,594,198
25804061-d163-4dcb-b628-55d038e81b19,440,176
f1028d69-f00a-412e-a518-07fa57c09ed5,396,66
11b763d4-be03-4705-b052-8a947adec697,594,132
8a76df1a-bc24-4364-82a3-0f69189c4cd3,1188,308
57fe3955-16b1-46c7-8bc4-c5739731a39c,1122,286
12e929a1-976b-491b-9a81-783492c37534,506,220
dd8a5b41-2fa8-48c0-9a8f-dc84bfa12898,528,176
850d9e44-882c-45cd-a083-ce106dcfbadb,220,88
49b757fc-dac8-496f-9639-3df7a579817b,528,176
b297b743-7c8c-4f53-b846-48f0f70ff87c,792,176
f3883475-2bad-4621-b294-3d05ae0faf41,902,198
38329d31-695f-4594-805c-3748d84b93a2,660,132
12454a0a-3b66-478b-910d-4adfc42cf441,330,176
d70e00d2-7eed-4e04-ae8b-782fdc23e425,418,110
6c796408-aebb-4cc9-bcb8-3d9127a40d84,572,176
e2b9a12b-7dae-45e8-acd5-90e65b751695,924,264
43deeb35-cc73-4ca0-9e7a-3ca1c9cb3b19,990,352
c2f01795-2d19-4cc1-8b55-9abe7e6ca7e2,418,220
7b524884-f89b-4763-abb4-01801dab8fd8,396,132
c9b1be94-5bd5-48bc-bd9a-8f6ab997f1b6,198,44
8ef83dd4-8838-4cd5-87de-ef9e15719c58,110,66
eb7e1fbc-dc2e-4735-a001-edb8100e871c,814,396
fd63f2bd-c58c-460d-a671-0387c0fcba5c,682,352
e4133f1f-8f60-4cbb-8842-0f859f7aeed6,660,220
0a29a629-2058-4b00-bad6-af3a0b1d29e2,330,220
8b22af42-cae8-40fe-baa4-e8c02b0e1d02,198,66
6a4b149c-282a-439b-916b-8afe3e7c9770,110,88
6dee7853-0fd6-4589-8c75-e6344f88db08,1056,330
6756ae9b-3309-425f-b6cb-f35927a5ec2e,1034,352
33a5bc0e-1158-459e-b6dc-228e78bcf405,572,220
746efcc9-92a6-4df3-a73f-e6e2ca7a3fbe,616,220
6c63c204-84ed-4615-bba0-52980e324f30,110,66
b69c62e6-caa6-4aaf-81b1-cc919ee2b4bb,132,88
dcefff73-6677-4505-86d1-01f8d6722a58,814,352
e9134602-a2d1-42ff-b8c6-5c0fe3db5f1b,1166,330
46cebcb9-db35-41e7-a3dc-11e1c7c1b127,484,220
a5b88344-9f2c-42b8-857f-9212fcd83a05,506,220
34beffc1-6091-48c7-89d2-e38e5015e5c0,132,44
e9efba18-e4ac-429e-8625-4913bf5de19a,264,66
653dd32b-f023-491d-b73e-37314388ac18,1122,308
c4627a16-154a-417e-8b08-fc2cad056c97,1100,352
ddda439d-b882-4828-9a32-cfb4e50109e9,396,198
e3238616-f502-42c0-b797-36cf33025a9c,550,154
fa6e77c2-677c-4033-95a6-9e29e0588741,132,66
54f1995c-fffe-4429-bd1c-33e6038175d2,132,88
568b3b43-24af-4a23-8eb9-05a3ae2055b9,1012,330
1be8c8a7-978f-4c16-8f30-9bd5447f82fd,792,308
048e3d86-25f7-428e-81eb-053fa85839ff,330,110
3d67d6e8-7a59-4370-8c99-df02ec01ff02,550,198
ade10866-2059-454e-8b5e-888b49afd6ca,110,44
217b8579-36ed-429c-b017-8238e652f8f3,110,88
08068fb8-b687-49eb-8658-e17d43deaedf,1275,330
d458f505-4c16-4c7c-a31a-9d5c2e8f10b3,1144,352
d960a9cf-c4eb-4905-bf4e-db2af9154bec,836,176
feca1b16-8b0f-4037-8fc9-66085cff9ee3,484,176
517ca175-32d8-47ba-affe-19d9e8b23df5,154,66
edf2a5e3-7397-4ff2-a051-504c36b620ad,220,88
4b0867da-262b-45d6-a2d5-874a31f163d9,1473,352
ec3014e8-a3f9-4b28-8745-f524ddcd7598,946,330
f1f15c8a-f8db-4922-92c9-c6aef6d67e25,484,198
bcf12b00-a02b-4073-854b-9fdb3ec75a51,616,242
67e60939-f669-46ac-b340-b466a2c2109d,88,66
57dd1b45-80c3-45c2-aa1a-320177bcc0ad,220,44
0d9fefe1-868c-4e8e-9b95-d11b81e31620,1012,264
bf759136-97ae-4acc-b167-42c786d7d9de,770,330
f8849736-0a80-4703-9f2e-6ee00ae2e9c7,506,154
63111662-46b8-410c-b5a2-1e71c41078fe,616,132
08311a6c-6b89-4644-a33f-ca6ab17a1824,176,66
fced54c3-b107-478e-bc08-76df3f46d7c0,132,44
428c0aef-6f07-4374-bfeb-0a5ae6a86241,946,374
30c8f780-432c-4c85-a6f8-695e45501e77,1495,308
82273c1c-a615-46dd-a64b-8a19c03d22e9,484,154
c2749dfd-ce95-429d-8a3a-2ef37f00ee2a,814,110
1e9fadfc-0a12-4646-96a6-2863abbce186,88,44
1f6d5dec-7757-419f-9278-3aeec0a1125f,242,66
b7a0608c-bbd9-4a2a-ab24-899b7c7dd1a0,506,308
