id,brand_id,family_id,"""group""",legacy_id,title,channels
fd3230de-fcc0-4692-9163-5d2bdb933261,81ff4456-9c03-441f-9201-9410cae79d85,1dc55e58-a5c3-462c-b73d-8dd480de90fc,P1438,11132,Bydena Pant combi ,"[""LOOKIERO""]"
3c04738c-8db4-4c23-9c0d-69e2684bcbd5,10978e4c-57de-4f45-9b35-f304ca89875e,35405a7d-7018-440b-9d16-76206ac3e224,K788,13531,Taylor Parka water,"[""LOOKIERO""]"
a4aa3121-07a8-4891-82a9-92e3c7792cb7,da790000-672a-45a3-9bf9-4805e90d7f19,141f32d6-a5af-49bf-b019-fd28354977f1,J1361,13533,Bobbi Cardigan leopard,"[""LOOKIERO""]"
e280eaa1-eda7-47b4-912a-e462acf5b3a3,81ff4456-9c03-441f-9201-9410cae79d85,39792668-5cfd-42c2-8872-ad776e9bad70,T1308,13705,Byhabella Shirt young ,"[""LOOKIERO""]"
db0c50e4-0353-4409-8e26-1def8bb660c0,154c7f5d-9f6b-4f6b-bace-422d40a9ab7f,1dc55e58-a5c3-462c-b73d-8dd480de90fc,P2061,14446,Pane Pant lui,"[""LOOKIERO""]"
2e37c35e-4633-4a80-8346-14e695e3aebe,45ebfaa9-5ebf-4239-8e7f-6fc626344ee3,95f835a3-03fe-40f1-a813-4fbfd2842845,C1206,11134,Rayes Tshirt peak ,"[""LOOKIERO""]"
1743f273-767b-45f9-9512-790bf9c975cc,dcbc39f3-9aca-4f28-9a5c-2ddd04da77d8,c59807ac-0362-4078-94b0-37ea3df6cdd0,S2140,11138,Senes Shirt bambi ,"[""LOOKIERO""]"
35390aaf-95bd-457a-953c-cca83e12d061,60f81be4-bc2d-465c-ad62-52551b7c9ad8,ba89fcc3-bb1b-42af-a754-2d9f639e43ab,D2001,11225,Wahidden Dress parrot,"[""LOOKIERO""]"
ea27d216-5bfa-40fd-9d33-55a09830f814,921d101c-6d05-4d3a-94fa-b50b955f0561,88ee8b83-a7fe-4c00-8f12-621b209012fd,Y117,11228,Florencia Jumpsuit uni,"[""LOOKIERO""]"
836419ee-f777-4818-8e2e-8790bf68265b,921d101c-6d05-4d3a-94fa-b50b955f0561,95f835a3-03fe-40f1-a813-4fbfd2842845,C1174,11234,Woven Tshirt collar,"[""LOOKIERO""]"
53ec77e5-5bb6-40bb-b2a4-62dedb371f7b,921d101c-6d05-4d3a-94fa-b50b955f0561,95f835a3-03fe-40f1-a813-4fbfd2842845,C1175,11236,Taily Tshirt knot,"[""LOOKIERO""]"
bd3dbefa-832e-4f87-ab1d-52f9155371b2,2a50cb28-0dfb-4689-8c67-4d5149959a2b,1b93b30c-833f-45a8-ba69-c21d2e7f4824,J936,8501,Haylie Sweater draw ,"[""LOOKIERO""]"
955f4365-90da-4656-b082-0a147fd860fd,6ed756bf-7370-46c0-b4df-a53c893b26bb,2514d6c8-11e6-4692-87b4-dcc1cd18592c,F1100,13543,Anabel Skirt soya,"[""LOOKIERO""]"
33c21b30-ecad-4dc6-ba51-4dd2bf14d1f0,056287db-fb8b-44e7-a76a-f356ec59d5f5,1dc55e58-a5c3-462c-b73d-8dd480de90fc,P1596,13846,Blanche Pant flounce,"[""LOOKIERO""]"
66303ebd-071f-4888-9b5e-6765ef9c77e0,c22a8b00-a91b-4f6f-af11-8553e7c13ea9,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,K673,13848,Malou Jacket blazer,"[""LOOKIERO""]"
d0286095-7274-4551-bb9c-1a842d38928c,37fe10b7-3e0b-4bcb-ab83-759ddc273e23,c59807ac-0362-4078-94b0-37ea3df6cdd0,S1962,13853,Facampa Shirt flower,"[""LOOKIERO""]"
cbc2cd45-9f13-49f7-b0cf-b38fa4961c40,6ad0756c-5e2a-4caa-8c9a-deaab7cdcf96,95f835a3-03fe-40f1-a813-4fbfd2842845,D2073,13854,Tinna Dress tunic,"[""LOOKIERO""]"
48aa3157-1cb6-4f1e-bc47-fb8b9398ef58,60f81be4-bc2d-465c-ad62-52551b7c9ad8,1dc55e58-a5c3-462c-b73d-8dd480de90fc,P1954,16752,Orna Pant palazzo ,"[""LOOKIERO""]"
113a0cf1-0d08-469c-a999-1a565c957fea,e0c5939f-1f3f-44c9-b786-8154fdaa6cac,ba89fcc3-bb1b-42af-a754-2d9f639e43ab,D2016,13912,Woven Dress esprit,"[""LOOKIERO""]"
807b947d-6501-4102-a616-3b90facc334e,f55a7823-4b84-4ca2-b24f-4945f2f27ca9,3087da56-5a27-4e58-aea7-1555c640f232,X86,8883,Veina Sweatshirt tokyo,"[""LOOKIERO""]"
3b0c6093-31bf-4f67-8bf8-d7019dcd8ffb,cfca4b92-12a6-411c-a62a-a874d00aa735,1b93b30c-833f-45a8-ba69-c21d2e7f4824,J1722,\N,Onllesly Sweater noos ,"[""LOOKIERO""]"
3c27442c-a06b-465d-8706-5593ca9cf457,988e3625-7d5a-46f9-b93b-f3b15c8d6e61,1dc55e58-a5c3-462c-b73d-8dd480de90fc,P1281,8885,Ihkate Pant spring,"[""LOOKIERO""]"
77eb8b11-4f97-4557-a203-ecbdb0efae76,9ef43878-70f3-43df-959d-49af8b1f580f,c59807ac-0362-4078-94b0-37ea3df6cdd0,S2641,14661,Print Shirt snake ,"[""LOOKIERO""]"
dda5cae8-5d9b-4a81-814e-734e27b76ca7,ce8d442c-e662-44f8-a130-2e436f119ede,1dc55e58-a5c3-462c-b73d-8dd480de90fc,P1395,8927,Elida Pant deeluxe,"[""LOOKIERO""]"
107d63e0-c1e9-49dd-967c-9defcff235f1,61c08d2e-6819-4a64-a866-3e377ff68925,1b93b30c-833f-45a8-ba69-c21d2e7f4824,X91,8932,Viril Sweatshirt hoodie,"[""LOOKIERO""]"
8e94941c-38d5-4e87-b686-5fd334a2e7af,cfca4b92-12a6-411c-a62a-a874d00aa735,35405a7d-7018-440b-9d16-76206ac3e224,K473,8934,Onllorca Parka spring,"[""LOOKIERO""]"
7ac62232-3aa9-4a66-9043-beb70999f3d8,cfca4b92-12a6-411c-a62a-a874d00aa735,35405a7d-7018-440b-9d16-76206ac3e224,K469,8936,Onlmay Parka spring,"[""LOOKIERO""]"
000a29f9-d1c0-4623-b319-9ad790f20436,9b5272b3-c05f-4237-913b-61dde0fdb8d0,c59807ac-0362-4078-94b0-37ea3df6cdd0,S1307,12409,Sloane Shirt print,"[""LOOKIERO""]"
d5f4932a-5df9-44c5-a976-1c5d73e6ee67,921d101c-6d05-4d3a-94fa-b50b955f0561,1b93b30c-833f-45a8-ba69-c21d2e7f4824,J1829,14102,Blanka Sweater strong ,"[""LOOKIERO""]"
cec36c3b-b0dc-4127-8a7a-2f9ddb7bba95,a1f8d89e-04ed-42a9-8c51-dc04cbdd0d18,b263ba41-adab-4a83-a3e0-2766522f5aec,Q431,16231,Betty Scarf closet ,"[""LOOKIERO""]"
8e9f677e-599a-4f00-b181-8989a2de91bd,5ac9ffe0-7aa8-4f96-93cf-b2a2401e3d74,ba89fcc3-bb1b-42af-a754-2d9f639e43ab,D1719,8978,Iona Dress wdc,"[""LOOKIERO""]"
7e4d62cc-7312-4db6-a62d-16f819a33b45,1600fb81-6f8b-4fa2-9ae2-a33420125939,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,K688,9090,Gold Jacket bomb,"[""LOOKIERO""]"
8f6bd7d1-88d8-45c8-9d67-24c21d452411,67b4106f-ce58-4ea9-8912-9b6e3e32d203,6598b655-3e19-448c-8b4f-ff6a29447b34,M206,9410,Bsfiona Jeans nova,[]
f120d726-6062-4776-9c67-5c79ad344c9c,988e3625-7d5a-46f9-b93b-f3b15c8d6e61,141f32d6-a5af-49bf-b019-fd28354977f1,J1176,9107,Ihmafa Cardigan sweet ,"[""LOOKIERO""]"
925b8852-f28b-4be6-86dd-23c6db3adcd4,988e3625-7d5a-46f9-b93b-f3b15c8d6e61,6598b655-3e19-448c-8b4f-ff6a29447b34,M203,9108,Izaro Jeans slim ,"[""LOOKIERO""]"
c25b1f3c-5517-42d6-906e-4bc37b898667,81ff4456-9c03-441f-9201-9410cae79d85,95f835a3-03fe-40f1-a813-4fbfd2842845,C1069,9408,Teri T-shirt flower,"[""LOOKIERO""]"
e96f2edc-2dfd-44f4-a06e-596034e8fc67,e4c97e4e-1141-497f-b38c-3b7c0cae9ec4,141f32d6-a5af-49bf-b019-fd28354977f1,J1958,14113,Pcholly Cardigan knit,"[""LOOKIERO""]"
cb8255cc-4a73-46e2-ad6d-72dc5ef58236,f55a7823-4b84-4ca2-b24f-4945f2f27ca9,1dc55e58-a5c3-462c-b73d-8dd480de90fc,M181,9433,Adina Jeans button,[]
c5f64def-33c9-4f98-9920-1921e24c201a,c373a4f2-a8de-41e8-86a0-04725b575436,88ee8b83-a7fe-4c00-8f12-621b209012fd,Y190,16757,Eris Playsuit button ,[]
517e12df-69df-423d-9b9c-d8c0fe236c74,c22a8b00-a91b-4f6f-af11-8553e7c13ea9,c59807ac-0362-4078-94b0-37ea3df6cdd0,S1196,9434,Maddy Shirt stripe,"[""LOOKIERO""]"
